   1.7663952875199587E-006   9.7383553365096074E-012   1.2617270091616940E-002
   1.8109694603823560E-006   9.7382154853797369E-012   2.4923985869415469E-002
   1.8566684420009843E-006   9.7380756362582512E-012   2.4923985869415535E-002
   1.9035206164076006E-006   9.7379357891451180E-012   2.4923985869415542E-002
   1.9515550838919527E-006   9.7377959440403083E-012   2.4923985869415542E-002
   2.0008016790762188E-006   9.7376561009437930E-012   2.4923985869415455E-002
   2.0512909894455495E-006   9.7375162598555461E-012   2.4923985869415421E-002
   2.1030543743462189E-006   9.7373764207755371E-012   2.4923985869415546E-002
   2.1561239844631849E-006   9.7372365837037385E-012   2.4923985869415556E-002
   2.2105327817891557E-006   9.7370967486401194E-012   2.4923985869415417E-002
   2.2663145600975698E-006   9.7369569155846510E-012   2.4923985869415414E-002
   2.3235039659322002E-006   9.7368170845373057E-012   2.4923985869415532E-002
   2.3821365201264200E-006   9.7366772554980527E-012   2.4923985869415497E-002
   2.4422486398654991E-006   9.7365374284668664E-012   2.4923985869415542E-002
   2.5038776613056341E-006   9.7363976034437143E-012   2.4923985869415563E-002
   2.5670618627637530E-006   9.7362577804285722E-012   2.4923985869415449E-002
   2.6318404884925122E-006   9.7361179594214046E-012   2.4923985869415483E-002
   2.6982537730552388E-006   9.7359781404221888E-012   2.4923985869415504E-002
   2.7663429663159639E-006   9.7358383234308942E-012   2.4923985869415483E-002
   2.8361503590600708E-006   9.7356985084474901E-012   2.4923985869415494E-002
   2.9077193092614657E-006   9.7355586954719489E-012   2.4923985869415483E-002
   2.9810942690125894E-006   9.7354188845042433E-012   2.4923985869415504E-002
   3.0563208121339963E-006   9.7352790755443426E-012   2.4923985869415528E-002
   3.1334456624806461E-006   9.7351392685922192E-012   2.4923985869415431E-002
   3.2125167229624937E-006   9.7349994636478408E-012   2.4923985869415476E-002
   3.2935831052974023E-006   9.7348596607111833E-012   2.4923985869415570E-002
   3.3766951605148504E-006   9.7347198597822144E-012   2.4923985869415535E-002
   3.4619045102293942E-006   9.7345800608609080E-012   2.4923985869415462E-002
   3.5492640787032965E-006   9.7344402639472337E-012   2.4923985869415442E-002
   3.6388281257182438E-006   9.7343004690411622E-012   2.4923985869415494E-002
   3.7306522802765629E-006   9.7341606761426646E-012   2.4923985869415622E-002
   3.8247935751528762E-006   9.7340208852517165E-012   2.4923985869415469E-002
   3.9213104823176456E-006   9.7338810963682808E-012   2.4923985869415383E-002
   4.0202629492546270E-006   9.7337413094923366E-012   2.4923985869415612E-002
   4.1217124361947605E-006   9.7336015246238498E-012   2.4923985869415546E-002
   4.2257219542896521E-006   9.7334617417627947E-012   2.4923985869415400E-002
   4.3323561047483479E-006   9.7333219609091421E-012   2.4923985869415403E-002
   4.4416811189616988E-006   9.7331821820628598E-012   2.4923985869415508E-002
   4.5537648996392500E-006   9.7330424052239235E-012   2.4923985869415445E-002
   4.6686770629841963E-006   9.7329026303923009E-012   2.4923985869415438E-002
